Time(s) Force[Z](Prismatic:19)(N) Force[Y](Prismatic:19)(N) Force[X](Prismatic:19)(N) Force(Prismatic:19)(N) Moment[Z](Prismatic:19)(N.mm) Moment[Y](Prismatic:19)(N.mm) Moment[X](Prismatic:19)(N.mm) Moment(Prismatic:19)(N.mm) 
0.21675 1160.97000 -0.69559 6932.73000 7029.26000 200509.00000 -2701280.00000 -33848.60000 2708920.00000 
0.22231 1141.82000 -0.69559 6932.73000 7026.13000 200509.00000 -2671010.00000 -33291.90000 2678730.00000 
0.22787 1015.64000 -0.69559 6932.73000 7006.73000 200509.00000 -2538730.00000 -29629.20000 2546810.00000 
0.23343 902.21100 -0.69559 6932.73000 6991.19000 200509.00000 -2418260.00000 -26336.40000 2426700.00000 
0.23899 785.36300 -0.69559 6932.73000 6977.07000 200509.00000 -2294270.00000 -22944.50000 2303130.00000 
0.24454 669.43100 -0.69559 6932.73000 6964.97000 200509.00000 -2170910.00000 -19579.10000 2180240.00000 
0.25010 553.25300 -0.69559 6932.73000 6954.77000 200509.00000 -2047120.00000 -16206.60000 2056980.00000 
0.25566 437.14100 -0.69559 6932.73000 6946.50000 200509.00000 -1923220.00000 -12836.00000 1933690.00000 
0.26122 321.01100 -0.69559 6932.73000 6940.16000 200509.00000 -1799180.00000 -9464.81000 1810340.00000 
0.26677 204.88600 -0.69559 6932.73000 6935.75000 200509.00000 -1675040.00000 -6093.78000 1687010.00000 
0.27233 88.75930 -0.69559 6932.73000 6933.30000 200509.00000 -1550830.00000 -2722.70000 1563750.00000 
0.27789 -27.36670 -0.69559 6932.73000 6932.78000 200509.00000 -1426610.00000 648.36500 1440630.00000 
0.28345 -143.49300 -0.69559 6932.73000 6934.21000 200509.00000 -1302390.00000 4019.44000 1317740.00000 
0.28901 -259.61800 -0.69559 6932.73000 6937.59000 200509.00000 -1178210.00000 7390.48000 1195180.00000 
0.29456 -375.74700 -0.69559 6932.73000 6942.90000 200509.00000 -1054110.00000 10761.60000 1073070.00000 
0.30012 -491.86300 -0.69559 6932.73000 6950.15000 200509.00000 -930143.00000 14132.40000 951614.00000 
0.30568 -608.02800 -0.69559 6932.73000 6959.34000 200509.00000 -806274.00000 17504.50000 831016.00000 
0.31124 -724.00900 -0.69559 6932.73000 6970.43000 200509.00000 -682765.00000 20871.30000 711904.00000 
0.31679 -840.67600 -0.69559 6932.73000 6983.51000 200509.00000 -558823.00000 24258.00000 594202.00000 
0.32235 -954.78300 -0.69559 6932.73000 6998.17000 200509.00000 -437569.00000 27570.40000 482111.00000 
0.32791 -1078.45000 -0.69559 6932.73000 7016.11000 200509.00000 -307528.00000 31160.00000 368440.00000 
0.33347 -1163.31000 -0.69559 6932.73000 7029.65000 200509.00000 -214669.00000 33623.70000 295664.00000 
0.33903 -1151.24000 -0.69559 6932.73000 7027.66000 200509.00000 -214215.00000 33274.80000 295295.00000 
0.34458 -1154.47000 -0.69559 6932.73000 7028.19000 200509.00000 -199581.00000 33369.70000 284869.00000 
0.35014 -1153.61000 -0.69559 6932.73000 7028.05000 200509.00000 -189191.00000 33345.70000 277685.00000 
0.35570 -1153.84000 -0.69559 6932.73000 7028.09000 200509.00000 -178108.00000 33353.50000 270257.00000 
0.36126 -1153.78000 -0.69559 6932.73000 7028.08000 200509.00000 -167655.00000 33352.80000 263485.00000 
0.36682 -1153.79000 -0.69559 6932.73000 7028.08000 200509.00000 -157476.00000 33354.30000 257128.00000 
0.37237 -1153.79000 -0.69559 6932.73000 7028.08000 200509.00000 -147668.00000 33355.10000 251241.00000 
0.37793 -1153.79000 -0.69559 6932.73000 7028.08000 200509.00000 -138205.00000 33356.10000 245799.00000 
0.38349 -1153.79000 -0.69559 6932.73000 7028.08000 200509.00000 -129093.00000 33357.00000 240793.00000 
0.38905 -1153.79000 -0.69559 6932.73000 7028.08000 200509.00000 -120331.00000 33357.90000 236212.00000 
0.39460 -1153.79000 -0.69559 6932.73000 7028.08000 200509.00000 -111919.00000 33358.80000 232040.00000 
0.40016 -1153.79000 -0.69559 6932.73000 7028.08000 200509.00000 -103857.00000 33359.60000 228261.00000 
0.40572 -1153.79000 -0.69559 6932.73000 7028.08000 200509.00000 -96145.70000 33360.30000 224857.00000 
0.41128 -1153.79000 -0.69559 6932.73000 7028.08000 200509.00000 -88784.30000 33361.10000 221809.00000 
0.41684 -1153.79000 -0.69559 6932.73000 7028.08000 200509.00000 -81772.90000 33361.80000 219097.00000 
0.42239 -1153.79000 -0.69559 6932.73000 7028.08000 200509.00000 -75111.80000 33362.40000 216699.00000 
0.42795 -1153.79000 -0.69559 6932.73000 7028.08000 200509.00000 -68800.70000 33363.10000 214594.00000 
0.43351 -1153.79000 -0.69559 6932.73000 7028.08000 200509.00000 -62839.70000 33363.70000 212757.00000 
0.43907 -1153.79000 -0.69559 6932.73000 7028.08000 200509.00000 -57228.90000 33364.20000 211168.00000 
0.44462 -1153.79000 -0.69559 6932.73000 7028.08000 200509.00000 -51968.30000 33364.80000 209804.00000 
0.45018 -1153.79000 -0.69559 6932.73000 7028.08000 200509.00000 -47057.50000 33365.30000 208642.00000 
0.45574 -1153.79000 -0.69559 6932.73000 7028.08000 200509.00000 -42498.00000 33365.70000 207661.00000 
0.46130 -1153.79000 -0.69559 6932.73000 7028.08000 200509.00000 -38283.90000 33366.20000 206840.00000 
0.46686 -1153.78000 -0.69559 6932.73000 7028.08000 200509.00000 -34438.00000 33366.20000 206163.00000 
0.47241 -1153.83000 -0.69559 6932.73000 7028.09000 200509.00000 -30874.70000 33368.20000 205598.00000 
0.47797 -1153.62000 -0.69559 6932.73000 7028.06000 200509.00000 -27913.70000 33362.40000 205173.00000 
0.48353 -1154.41000 -0.69559 6932.73000 7028.18000 200509.00000 -24361.60000 33385.40000 204724.00000 
0.48909 -1151.49000 -0.69559 6932.73000 7027.71000 200509.00000 -24672.10000 33301.00000 204747.00000 
0.49464 -1162.37000 -0.69559 6932.73000 7029.50000 200509.00000 -12224.30000 33617.00000 203675.00000 
0.50020 -1111.17000 -0.69559 6932.73000 7021.21000 200509.00000 -59097.90000 32131.40000 211492.00000 
0.50576 -982.82400 -0.69559 6932.73000 7002.05000 200509.00000 -179572.00000 28407.30000 270660.00000 
0.51132 -869.97500 -0.69559 6932.73000 6987.10000 200509.00000 -285628.00000 25132.80000 349884.00000 
0.51688 -752.96300 -0.69559 6932.73000 6973.50000 200509.00000 -395902.00000 21737.50000 444313.00000 
0.52243 -637.10400 -0.69559 6932.73000 6961.94000 200509.00000 -505308.00000 18375.70000 543947.00000 
0.52799 -520.79400 -0.69559 6932.73000 6952.26000 200509.00000 -615336.00000 15000.70000 647354.00000 
0.53355 -405.13400 -0.69559 6932.73000 6944.55000 200509.00000 -724906.00000 11644.60000 752216.00000 
0.53911 -287.32800 -0.69559 6932.73000 6938.68000 200509.00000 -836637.00000 8226.18000 860368.00000 
0.54466 -177.45600 -0.69559 6932.73000 6935.00000 200509.00000 -940921.00000 5038.00000 962061.00000 
0.55022 -37.99300 -0.69559 6932.73000 6932.83000 200509.00000 -1073360.00000 991.14100 1091930.00000 
0.55578 -37.99300 -0.69559 6932.73000 6932.83000 200509.00000 -1073360.00000 991.14100 1091930.00000 
0.56134 -177.45600 -0.69559 6932.73000 6935.00000 200509.00000 -940921.00000 5038.00000 962061.00000 
0.56690 -287.32800 -0.69559 6932.73000 6938.68000 200509.00000 -836637.00000 8226.18000 860368.00000 
0.57245 -405.13400 -0.69559 6932.73000 6944.55000 200509.00000 -724906.00000 11644.60000 752216.00000 
0.57801 -520.79400 -0.69559 6932.73000 6952.26000 200509.00000 -615336.00000 15000.70000 647354.00000 
0.58357 -637.10400 -0.69559 6932.73000 6961.94000 200509.00000 -505308.00000 18375.70000 543947.00000 
0.58913 -752.96300 -0.69559 6932.73000 6973.50000 200509.00000 -395902.00000 21737.50000 444313.00000 
0.59469 -869.97500 -0.69559 6932.73000 6987.10000 200509.00000 -285628.00000 25132.80000 349884.00000 
0.60024 -982.82400 -0.69559 6932.73000 7002.05000 200509.00000 -179572.00000 28407.30000 270660.00000 
0.60580 -1111.17000 -0.69559 6932.73000 7021.21000 200509.00000 -59097.90000 32131.40000 211492.00000 
0.61136 -1162.37000 -0.69559 6932.73000 7029.50000 200509.00000 -12224.30000 33617.00000 203675.00000 
0.61692 -1151.49000 -0.69559 6932.73000 7027.71000 200509.00000 -24672.10000 33301.00000 204747.00000 
0.62247 -1154.41000 -0.69559 6932.73000 7028.18000 200509.00000 -24361.60000 33385.40000 204724.00000 
0.62803 -1153.62000 -0.69559 6932.73000 7028.06000 200509.00000 -27913.70000 33362.40000 205173.00000 
0.63359 -1153.83000 -0.69559 6932.73000 7028.09000 200509.00000 -30874.70000 33368.20000 205598.00000 
0.63915 -1153.78000 -0.69559 6932.73000 7028.08000 200509.00000 -34438.00000 33366.20000 206163.00000 
0.64470 -1153.79000 -0.69559 6932.73000 7028.08000 200509.00000 -38283.90000 33366.20000 206840.00000 
0.65026 -1153.79000 -0.69559 6932.73000 7028.08000 200509.00000 -42498.00000 33365.70000 207661.00000 
0.65582 -1153.79000 -0.69559 6932.73000 7028.08000 200509.00000 -47057.50000 33365.30000 208642.00000 
0.66138 -1153.79000 -0.69559 6932.73000 7028.08000 200509.00000 -51968.30000 33364.80000 209804.00000 
0.66694 -1153.79000 -0.69559 6932.73000 7028.08000 200509.00000 -57228.90000 33364.20000 211168.00000 
0.67249 -1153.79000 -0.69559 6932.73000 7028.08000 200509.00000 -62839.70000 33363.70000 212757.00000 
0.67805 -1153.79000 -0.69559 6932.73000 7028.08000 200509.00000 -68800.70000 33363.10000 214594.00000 
0.68361 -1153.79000 -0.69559 6932.73000 7028.08000 200509.00000 -75111.80000 33362.40000 216699.00000 
0.68917 -1153.79000 -0.69559 6932.73000 7028.08000 200509.00000 -81772.90000 33361.80000 219097.00000 
0.69473 -1153.79000 -0.69559 6932.73000 7028.08000 200509.00000 -88784.30000 33361.10000 221809.00000 
0.70028 -1153.79000 -0.69559 6932.73000 7028.08000 200509.00000 -96145.70000 33360.30000 224857.00000 
0.70584 -1153.79000 -0.69559 6932.73000 7028.08000 200509.00000 -103857.00000 33359.60000 228261.00000 
0.71140 -1153.79000 -0.69559 6932.73000 7028.08000 200509.00000 -111919.00000 33358.80000 232040.00000 
0.71696 -1153.79000 -0.69559 6932.73000 7028.08000 200509.00000 -120331.00000 33357.90000 236212.00000 
0.72251 -1153.79000 -0.69559 6932.73000 7028.08000 200509.00000 -129093.00000 33357.00000 240793.00000 
0.72807 -1153.79000 -0.69559 6932.73000 7028.08000 200509.00000 -138205.00000 33356.10000 245799.00000 
0.73363 -1153.79000 -0.69559 6932.73000 7028.08000 200509.00000 -147668.00000 33355.10000 251241.00000 
0.73919 -1153.79000 -0.69559 6932.73000 7028.08000 200509.00000 -157476.00000 33354.30000 257128.00000 
0.74474 -1153.78000 -0.69559 6932.73000 7028.08000 200509.00000 -167655.00000 33352.80000 263485.00000 
0.75030 -1153.84000 -0.69559 6932.73000 7028.09000 200509.00000 -178108.00000 33353.50000 270257.00000 
0.75586 -1153.61000 -0.69559 6932.73000 7028.05000 200509.00000 -189191.00000 33345.70000 277685.00000 
0.76142 -1154.47000 -0.69559 6932.73000 7028.19000 200509.00000 -199581.00000 33369.70000 284869.00000 
0.76698 -1151.24000 -0.69559 6932.73000 7027.66000 200509.00000 -214215.00000 33274.80000 295295.00000 
0.77253 -1163.31000 -0.69559 6932.73000 7029.65000 200509.00000 -214669.00000 33623.70000 295664.00000 
0.77809 -1078.45000 -0.69559 6932.73000 7016.11000 200509.00000 -307528.00000 31160.00000 368440.00000 
0.78365 -954.78300 -0.69559 6932.73000 6998.17000 200509.00000 -437569.00000 27570.40000 482111.00000 
0.78921 -840.67600 -0.69559 6932.73000 6983.51000 200509.00000 -558823.00000 24258.00000 594202.00000 
0.79477 -724.00900 -0.69559 6932.73000 6970.43000 200509.00000 -682765.00000 20871.30000 711904.00000 
0.80032 -608.02800 -0.69559 6932.73000 6959.34000 200509.00000 -806274.00000 17504.50000 831016.00000 
0.80588 -491.86300 -0.69559 6932.73000 6950.15000 200509.00000 -930143.00000 14132.40000 951614.00000 
0.81144 -375.74700 -0.69559 6932.73000 6942.90000 200509.00000 -1054110.00000 10761.60000 1073070.00000 
0.81700 -259.61800 -0.69559 6932.73000 6937.59000 200509.00000 -1178210.00000 7390.48000 1195180.00000 
0.82256 -143.49300 -0.69559 6932.73000 6934.21000 200509.00000 -1302390.00000 4019.44000 1317740.00000 
0.82811 -27.36670 -0.69559 6932.73000 6932.78000 200509.00000 -1426610.00000 648.36500 1440630.00000 
0.83367 88.75930 -0.69559 6932.73000 6933.30000 200509.00000 -1550830.00000 -2722.70000 1563750.00000 
0.83923 204.88600 -0.69559 6932.73000 6935.75000 200509.00000 -1675040.00000 -6093.78000 1687010.00000 
0.84479 321.01100 -0.69559 6932.73000 6940.16000 200509.00000 -1799180.00000 -9464.81000 1810340.00000 
0.85034 437.14100 -0.69559 6932.73000 6946.50000 200509.00000 -1923220.00000 -12836.00000 1933690.00000 
0.85590 553.25300 -0.69559 6932.73000 6954.77000 200509.00000 -2047120.00000 -16206.60000 2056980.00000 
0.86146 669.43100 -0.69559 6932.73000 6964.97000 200509.00000 -2170910.00000 -19579.10000 2180240.00000 
0.86702 785.36300 -0.69559 6932.73000 6977.07000 200509.00000 -2294270.00000 -22944.50000 2303130.00000 
0.87257 902.21100 -0.69559 6932.73000 6991.19000 200509.00000 -2418260.00000 -26336.40000 2426700.00000 
0.87813 1015.64000 -0.69559 6932.73000 7006.73000 200509.00000 -2538730.00000 -29629.20000 2546810.00000 
0.88369 1141.82000 -0.69559 6932.73000 7026.13000 200509.00000 -2671010.00000 -33291.90000 2678730.00000 
0.88925 1160.97000 -0.69559 6932.73000 7029.26000 200509.00000 -2701280.00000 -33848.60000 2708920.00000 
0.89481 1156.09000 -0.69559 6932.73000 7028.46000 200509.00000 -2708380.00000 -33708.20000 2716000.00000 
0.90036 1157.40000 -0.69559 6932.73000 7028.67000 200509.00000 -2721010.00000 -33747.30000 2728600.00000 
0.90592 1157.05000 -0.69559 6932.73000 7028.62000 200509.00000 -2731720.00000 -33738.20000 2739270.00000 
0.91148 1157.14000 -0.69559 6932.73000 7028.63000 200509.00000 -2742490.00000 -33742.00000 2750020.00000 
0.91704 1157.11000 -0.69559 6932.73000 7028.63000 200509.00000 -2752810.00000 -33742.30000 2760310.00000 
0.92260 1157.12000 -0.69559 6932.73000 7028.63000 200509.00000 -2762800.00000 -33743.50000 2770270.00000 
0.92815 1157.12000 -0.69559 6932.73000 7028.63000 200509.00000 -2772440.00000 -33744.40000 2779880.00000 
0.93371 1157.12000 -0.69559 6932.73000 7028.63000 200509.00000 -2781720.00000 -33745.40000 2789150.00000 
0.93927 1157.12000 -0.69559 6932.73000 7028.63000 200509.00000 -2790660.00000 -33746.30000 2798060.00000 
0.94483 1157.12000 -0.69559 6932.73000 7028.63000 200509.00000 -2799250.00000 -33747.10000 2806620.00000 
0.95038 1157.12000 -0.69559 6932.73000 7028.63000 200509.00000 -2807480.00000 -33748.00000 2814840.00000 
0.95594 1157.12000 -0.69559 6932.73000 7028.63000 200509.00000 -2815370.00000 -33748.80000 2822700.00000 
0.96150 1157.12000 -0.69559 6932.73000 7028.63000 200509.00000 -2822910.00000 -33749.50000 2830220.00000 
0.96706 1157.12000 -0.69559 6932.73000 7028.63000 200509.00000 -2830090.00000 -33750.20000 2837390.00000 
0.97262 1157.12000 -0.69559 6932.73000 7028.63000 200509.00000 -2836930.00000 -33750.90000 2844210.00000 
0.97817 1157.12000 -0.69559 6932.73000 7028.63000 200509.00000 -2843420.00000 -33751.60000 2850680.00000 
0.98373 1157.12000 -0.69559 6932.73000 7028.63000 200509.00000 -2849550.00000 -33752.20000 2856800.00000 
0.98929 1157.12000 -0.69559 6932.73000 7028.63000 200509.00000 -2855340.00000 -33752.80000 2862570.00000 
0.99485 1157.12000 -0.69559 6932.73000 7028.63000 200509.00000 -2860770.00000 -33753.30000 2867990.00000 
1.00040 1157.12000 -0.69559 6932.73000 7028.63000 200509.00000 -2865860.00000 -33753.80000 2873060.00000 
1.00596 1157.12000 -0.69559 6932.73000 7028.63000 200509.00000 -2870600.00000 -33754.30000 2877790.00000 
1.01152 1157.12000 -0.69559 6932.73000 7028.63000 200509.00000 -2874980.00000 -33754.70000 2882160.00000 
1.01708 1157.12000 -0.69559 6932.73000 7028.63000 200509.00000 -2879020.00000 -33755.20000 2886190.00000 
1.02264 1157.12000 -0.69559 6932.73000 7028.63000 200509.00000 -2882700.00000 -33755.40000 2889860.00000 
1.02819 1157.13000 -0.69559 6932.73000 7028.63000 200509.00000 -2886050.00000 -33756.20000 2893200.00000 
1.03375 1157.07000 -0.69559 6932.73000 7028.62000 200509.00000 -2888970.00000 -33754.70000 2896120.00000 
1.03931 1157.31000 -0.69559 6932.73000 7028.66000 200509.00000 -2891840.00000 -33761.90000 2898980.00000 
1.04487 1156.41000 -0.69559 6932.73000 7028.51000 200509.00000 -2893260.00000 -33736.00000 2900400.00000 
1.05042 1159.78000 -0.69559 6932.73000 7029.07000 200509.00000 -2898400.00000 -33833.90000 2905520.00000 
1.05598 1047.64000 -0.69559 6932.73000 7011.44000 200509.00000 -2793480.00000 -30580.20000 2800830.00000 
1.06154 930.44800 -0.69559 6932.73000 6994.89000 200509.00000 -2683450.00000 -27179.70000 2691060.00000 
1.06710 814.60800 -0.69559 6932.73000 6980.42000 200509.00000 -2574410.00000 -23818.40000 2582320.00000 
1.07266 698.40500 -0.69559 6932.73000 6967.82000 200509.00000 -2464790.00000 -20446.60000 2473020.00000 
1.07821 582.30000 -0.69559 6932.73000 6957.14000 200509.00000 -2355050.00000 -17077.60000 2363630.00000 
1.08377 466.16800 -0.69559 6932.73000 6948.38000 200509.00000 -2245110.00000 -13707.80000 2254080.00000 
1.08933 350.04300 -0.69559 6932.73000 6941.56000 200509.00000 -2135030.00000 -10338.20000 2144450.00000 
1.09489 233.91700 -0.69559 6932.73000 6936.67000 200509.00000 -2024840.00000 -6968.52000 2034760.00000 
1.10044 117.79100 -0.69559 6932.73000 6933.73000 200509.00000 -1914590.00000 -3598.85000 1925060.00000 
1.10600 1.66477 -0.69559 6932.73000 6932.73000 200509.00000 -1804300.00000 -229.18000 1815410.00000 
